drug,uses
hydroxyprogesterone,Prevention of Premature Labor
lidocaine + nifedipine,Treatment of Anal fissure
sodium bicarbonate,Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis
cetirizine + paracetamol + phenylephrine,Treatment of Common cold
melatonin,Treatment of InsomniaTreatment of Jet lag
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
aripiprazole, Schizophrenia Mania
amoxycillin + clavulanic acid,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections
adapalene, Acne
insulin glulisine, Diabetes
glimepiride,Treatment of Type 2 diabetes mellitus
aspirin + atorvastatin + clopidogrel,Prevention of Heart attack
hydroxyzine,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
levocetirizine + montelukast,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions
nitroglycerin,Treatment of Angina (heart-related chest pain)
salbutamol,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
sildenafil,Treatment of Pulmonary arterial hypertension (PAH)
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
clindamycin + nicotinamide,Treatment of Acne
disodium hydrogen citrate,Treatment of GoutTreatment of Kidney stone
aspirin + atorvastatin + clopidogrel,Prevention of Heart attack
desloratadine,Treatment of Allergic conditions
aspirin + atorvastatin + clopidogrel,Prevention of Heart attack
aztreonam, Severe bacterial infections
nitroglycerin,Treatment of Angina (heart-related chest pain)
ambroxol + guaifenesin + menthol + terbutaline, Cough
"rabies vaccine, human", Prevention of Rabies
ethosuximide,Treatment of Epilepsy/Seizures
telmisartan + metoprolol succinate,Treatment of Hypertension (high blood pressure)
levocetirizine,Treatment of Allergic conditions
benfotiamine + levo-carnitine + resveratrol + vitamin b, Nutritional deficiencies
acitretin, Psoriasis
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
cyproheptadine,Treatment of Allergic conditions Appetite stimulant
atorvastatin + ezetimibe, High cholesterol
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
ticagrelor, Prevention of heart attack and stroke
clindamycin + nicotinamide,Treatment of Acne
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
aspirin + atorvastatin + clopidogrel,Prevention of Heart attack
amorolfine, Fungal nail infections
silodosin + dutasteride,Treatment of Benign prostatic hyperplasia
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
domperidone + pantoprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
gabapentin + capsaicin based rubefacients + ketoprofen + methyl salicylate, Neuropathic pain
hydrocortisone + acetic acid,Treatment of Ear infection
amitriptyline + methylcobalamin, Neuropathic pain
telmisartan + chlorthalidone, Hypertension (high blood pressure)
clonidine + hydrochlorothiazide, Hypertension (high blood pressure)
acotiamide,Treatment of Functional dyspepsia
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
brimonidine, Ocular hypertension Glaucoma
hydroxypropylmethylcellulose, Dry eyes
hydroquinone + tretinoin + hydrocortisone, Melasma
atropine + chloramphenicol + dexamethasone,Treatment of Uveitis
aceclofenac + paracetamol, Pain relief
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
rosuvastatin,Treatment of High cholesterol Prevention of heart attack and stroke
telmisartan + atorvastatin, High blood pressure with high cholesterol
amikacin, Bacterial infections
alpha ketoanalogue,Treatment of Chronic kidney disease
miconazole + mometasone + nadifloxacin,Treatment of Skin infections
albendazole,Treatment of Parasitic infections
amoxycillin + clavulanic acid,Treatment of Bacterial infections
s-amlodipine + telmisartan, Hypertension (high blood pressure)
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
fenofibrate, High cholesterol
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
recombinant human erythropoietin alfa,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy
metoprolol succinate + ramipril, Hypertension (high blood pressure)
aceclofenac + rabeprazole, Pain relief
pancreatin,Treatment of Pancreatic enzyme deficiency
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
acebrophylline,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
amoxycillin + clavulanic acid,Treatment of Bacterial infections
carbimazole, Hyperthyroidism
dapsone + adapalene,Treatment of Acne
polidocanol, Varicose veins
pancreatin,Treatment of Pancreatic enzyme deficiency
azithromycin,Treatment of Bacterial infections
diltiazem,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of Arrhythmia
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
azelastine,Treatment of Sneezing and runny nose due to allergies
epalrestat, Diabetic nerve pain
bromelain + trypsin + rutoside, Pain relief
azithromycin,Treatment of Bacterial infections
alogliptin,Treatment of Type 2 diabetes mellitus
trypsin + bromelain + rutoside + diclofenac, Pain relief
allylestrenol,Treatment of Premature LaborTreatment of Recurrent miscarriage
aspirin + atorvastatin + clopidogrel,Prevention of Heart attack
amoxycillin + clavulanic acid,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
clozapine, Schizophrenia
acitretin, Psoriasis
azelastine,Treatment of Sneezing and runny nose due to allergies
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
loratadine,Treatment of Allergic conditions
disodium hydrogen citrate,Treatment of GoutTreatment of Kidney stone
phenylephrine + chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
azithromycin,Treatment of Bacterial infections
camylofin + diclofenac, Abdominal cramp
atropine,Treatment of MyopiaTreatment of Uveitis
amlodipine + lisinopril, Hypertension (high blood pressure)
sevelamer, High phosphate levels in blood
drotaverine + aceclofenac,Treatment of Abdominal pain
sacubitril + valsartan,Treatment of Heart failure
isosorbide dinitrate + hydralazine,Treatment of Heart failure
azithromycin,Treatment of Bacterial infections
nitroglycerin,Treatment of Angina (heart-related chest pain)
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
acetylcysteine + ambroxol, Chronic obstructive pulmonary disease (COPD)
agomelatine, Depression
corticotropin, Infantile spasms
brimonidine + stabilized oxychloro,Treatment of Glaucoma
tirofiban,Prevention of Heart attack
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
hydroxypropylmethylcellulose + glycerin + dextran,Treatment of Dry eyes
amlodipine + indapamide, Hypertension (high blood pressure)
montelukast + fexofenadine + acebrophylline, Asthma
recombinant human erythropoietin alfa,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy
guaifenesin + terbutaline + bromhexine,Treatment of Cough with mucus
atorvastatin, High cholesterolPrevention of Heart attack
progesterone, Hormone replacement therapy Female infertility
atorvastatin, High cholesterolPrevention of Heart attack
ranitidine,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
tetrabenazine,Treatment of chorea (a movement disorder) associated with Huntington's disease
alcaftadine, Allergic eye disease
atorvastatin, High cholesterolPrevention of Heart attack
aceclofenac, Pain relief
levocetirizine,Treatment of Allergic conditions
ambroxol + levosalbutamol + guaifenesin,Treatment of Cough with mucus
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
metronidazole + nicotinamide,Treatment of Acne
deferasirox,Treatment of Iron overload
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
fluconazole,Treatment of Fungal infections
sucralfate,Treatment of Intestinal ulcersTreatment of Stomach ulcers
azithromycin,Treatment of Bacterial infections
insulin glulisine, Diabetes
amoxycillin + clavulanic acid,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
amisulpride, Schizophrenia
carboxymethylcellulose,Treatment of Dry eyes
ambroxol + loratadine, Cough
amisulpride, Schizophrenia
alfuzosin,Treatment of Benign prostatic hyperplasia
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
aceclofenac + paracetamol + trypsin chymotrypsin, Pain relief
epalrestat + methylcobalamin, Diabetic nerve pain
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
aceclofenac + paracetamol + serratiopeptidase, Pain relief
telmisartan + amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
tranexamic acid + kojic acid + arbutin + magnesium + vitamin e + mulberry extract, Melasma
methylcobalamin + pregabalin,Treatment of Neuropathic pain
apremilast, Plaque psoriasis
cefuroxime,Treatment of Bacterial infections
isotretinoin,Treatment of Acne
nitroglycerin,Treatment of Angina (heart-related chest pain)
amiodarone,Treatment of Arrhythmia
atorvastatin, High cholesterolPrevention of Heart attack
acenocoumarol,Treatment and prevention of Blood clots
amorolfine + phenoxyethanol,Treatment of Fungal infections
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
azithromycin,Treatment of Bacterial infections
dexamethasone,Treatment of Inflammatory conditionsTreatment of Autoimmune conditions
epalrestat + methylcobalamin, Diabetic nerve pain
magaldrate + simethicone + oxetacaine,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
azithromycin,Treatment of AcneTreatment of Bacterial infections
levocetirizine + montelukast,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions
sodium hyaluronate,Treatment of Dry eyes
amorolfine + phenoxyethanol,Treatment of Fungal infections
chlorpheniramine maleate + dextromethorphan hydrobromide,Treatment of Dry cough
aripiprazole, Schizophrenia Mania
amphotericin b, Fungal infections of vagina
thiocolchicoside + aceclofenac + paracetamol,Treatment of Muscular pain
gliclazide + pioglitazone + metformin,Treatment of Type 2 diabetes mellitus
atorvastatin + aspirin,Treatment of Prevention of heart attack and stroke
ambroxol,Treatment of Respiratory tract disorders associated with viscid mucus
abiraterone acetate, Prostate cancer
alprostadil,Treatment of Patent ductus arteriosus (PDA)
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
fenofibrate + rosuvastatin,Treatment of High cholesterolPrevention of Heart attack
fenofibrate + rosuvastatin,Treatment of High cholesterolPrevention of Heart attack
aripiprazole, Schizophrenia Mania
amorolfine, Fungal nail infections
atorvastatin, High cholesterolPrevention of Heart attack
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
azithromycin,Treatment of Bacterial infections
acotiamide,Treatment of Functional dyspepsia
anastrozole, Breast cancer
liposomal amphotericin b, Fungal skin infections
telmisartan + amlodipine,Treatment of Hypertension (high blood pressure)
almotriptan,Treatment of Acute migraine headache
ciclosporin, Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome
ampicillin + dicloxacillin + lactobacillus, Bacterial infections
gabapentin + lidocaine, Neuropathic pain
atorvastatin + aspirin,Treatment of Prevention of heart attack and stroke
amoxycillin + clavulanic acid,Treatment of Bacterial infections
ambroxol,Treatment of Respiratory tract disorders associated with viscid mucus
azilsartan medoxomil, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke
atorvastatin + clopidogrel, Heart attack prevention and high cholesterol
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
ivermectin + albendazole,Treatment of Worm infections
azithromycin,Treatment of Bacterial infections
nitroglycerin,Treatment of Angina (heart-related chest pain)
amlodipine + enalapril, Hypertension (high blood pressure)
disodium hydrogen citrate,Treatment of GoutTreatment of Kidney stone
carbimazole, Hyperthyroidism
acitretin, Psoriasis
rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
hydroquinone + tretinoin + fluocinolone acetonide, Melasma
methylcobalamin + pregabalin,Treatment of Neuropathic pain
